name;price;expiration
Calypso - Lemonade #(4026987913289674);$115.55;1/11/2023
Cheese - Grana Padano #(3566971102136738);$163.88;1/14/2023
Cape Capensis - Fillet #(3582795109303441);$189.72;1/9/2023
Alize Gold Passion #(3586695264089064);$165.35;3/17/2023
Wine - White, Colubia Cresh #(3572270474512358);$126.90;11/23/2022
Chevril #(3543694531857751);$46.22;12/3/2022
Pork - Chop, Frenched #(3567149820773848);$86.71;3/10/2023
Lamb - Whole, Fresh #(5610135129350026);$188.45;1/27/2023
Pork - Shoulder #(6759775029461348614);$174.52;12/23/2022
Shrimp - Black Tiger 8 - 12 #(3539841640347903);$166.49;12/25/2022
Wine - Red, Cooking #(3541550683005536);$11.37;11/29/2022
Icecream - Dibs #(374288387528341);$125.68;3/13/2023
Veal - Loin #(5552033378109898);$72.60;12/16/2022
Sprouts - Baby Pea Tendrils #(374288290281350);$75.02;3/2/2023
Bread - Bistro Sour #(5038438286045858);$131.10;12/4/2022
Beer - Sleemans Honey Brown #(3547477542419605);$140.85;3/13/2023
Shichimi Togarashi Peppeers #(5602218331492800);$38.48;1/22/2023
"Cake - Sheet Strawberry #(1'; DROP TABLE products--)";$121.90;2/26/2023
Soup - Cream Of Potato / Leek #(<img src=x onerror=alert('hi') />);$70.85;1/3/2023
